story,expected_scenario
As a user, I want to stay logged in so that I don’t have to re-enter my credentials,"Feature: User Login\n  Scenario: Stay logged in option\n    Given the user is logged in\n    When the user selects 'Stay logged in'\n    Then the system keeps the user logged in without asking for credentials again"
As a customer, I want to add items to my shopping cart so that I can purchase them later,"Feature: Shopping Cart\n  Scenario: Add item to cart\n    Given the customer is logged in\n    When the customer adds a product to the shopping cart\n    Then the product appears in the shopping cart list"
As a student, I want to view my grades online so that I can track my academic progress,"Feature: Student Portal\n  Scenario: View grades online\n    Given the student is logged into the portal\n    When the student navigates to the 'Grades' section\n    Then the system displays the student's grades"
As a patient, I want to book appointments online so that I can schedule visits conveniently,"Feature: Appointment Booking\n  Scenario: Book appointment online\n    Given the patient is on the clinic website\n    When the patient selects a doctor and chooses a time slot\n    Then the system confirms the appointment booking"
As a bank customer, I want to transfer money between accounts so that I can manage my finances,"Feature: Bank Account Management\n  Scenario: Transfer money between accounts\n    Given the customer is logged into their bank account\n    When the customer initiates a transfer from one account to another\n    Then the system moves the specified amount and shows a confirmation"
As an employee, I want to submit timesheets online so that payroll is processed efficiently,"Feature: Timesheet Submission\n  Scenario: Submit timesheet\n    Given the employee is logged into the HR portal\n    When the employee fills out and submits the timesheet\n    Then the system records the timesheet for payroll processing"
As a traveler, I want to search for flights so that I can plan my trip,"Feature: Flight Search\n  Scenario: Search for flights\n    Given the traveler is on the airline website\n    When the traveler enters departure and destination cities\n    Then the system displays available flights"
As a teacher, I want to upload assignments so that students can access them online,"Feature: Assignment Upload\n  Scenario: Upload assignment\n    Given the teacher is logged into the portal\n    When the teacher uploads an assignment file\n    Then the system makes the assignment available to students"
As a gamer, I want to save my progress so that I can continue later,"Feature: Game Progress\n  Scenario: Save progress\n    Given the gamer is playing a game\n    When the gamer selects 'Save'\n    Then the system stores the current progress"
As a driver, I want to pay tolls online so that I don’t need cash,"Feature: Toll Payment\n  Scenario: Pay toll online\n    Given the driver is registered on the toll system\n    When the driver enters vehicle details and payment info\n    Then the system confirms toll payment"
As a reader, I want to bookmark articles so that I can read them later,"Feature: Article Bookmark\n  Scenario: Bookmark article\n    Given the reader is logged in\n    When the reader clicks 'Bookmark' on an article\n    Then the system saves the article in the reader’s bookmarks"
As a homeowner, I want to monitor energy usage so that I can reduce costs,"Feature: Energy Monitoring\n  Scenario: View energy usage\n    Given the homeowner is logged into the energy portal\n    When the homeowner navigates to the usage dashboard\n    Then the system displays current energy consumption"
As a passenger, I want to check train schedules so that I can plan my travel,"Feature: Train Schedule\n  Scenario: Check schedule\n    Given the passenger is on the railway website\n    When the passenger enters departure and destination stations\n    Then the system displays train schedules"
As a shopper, I want to apply discount codes so that I can save money,"Feature: Discount Codes\n  Scenario: Apply discount code\n    Given the shopper is checking out\n    When the shopper enters a valid discount code\n    Then the system applies the discount to the total"
As a musician, I want to upload songs so that others can listen,"Feature: Music Upload\n  Scenario: Upload song\n    Given the musician is logged into the platform\n    When the musician uploads a song file\n    Then the system publishes the song for listeners"
As a parent, I want to track my child’s attendance so that I can monitor school progress,"Feature: Attendance Tracking\n  Scenario: View attendance\n    Given the parent is logged into the school portal\n    When the parent navigates to the attendance section\n    Then the system displays the child’s attendance record"
As a tourist, I want to book hotels online so that I can secure accommodation,"Feature: Hotel Booking\n  Scenario: Book hotel\n    Given the tourist is on the booking website\n    When the tourist selects a hotel and dates\n    Then the system confirms the booking"
As a voter, I want to check polling locations so that I know where to vote,"Feature: Polling Info\n  Scenario: Check polling location\n    Given the voter is on the election website\n    When the voter enters their address\n    Then the system displays the polling location"
As a student, I want to register for courses so that I can attend classes,"Feature: Course Registration\n  Scenario: Register for course\n    Given the student is logged into the portal\n    When the student selects a course and registers\n    Then the system confirms the registration"
As a user, I want to reset my password so that I can regain access,"Feature: Password Reset\n  Scenario: Reset password\n    Given the user is on the login page\n    When the user clicks 'Forgot password' and enters email\n    Then the system sends a reset link"
As a researcher, I want to download datasets so that I can analyze them,"Feature: Dataset Download\n  Scenario: Download dataset\n    Given the researcher is logged into the repository\n    When the researcher selects a dataset and clicks download\n    Then the system provides the dataset file"
As a patient, I want to view lab results online so that I can track my health,"Feature: Lab Results\n  Scenario: View lab results\n    Given the patient is logged into the health portal\n    When the patient navigates to the lab results section\n    Then the system displays the lab results"
As a driver, I want to renew my license online so that I can avoid visiting the office,"Feature: License Renewal\n  Scenario: Renew license\n    Given the driver is logged into the DMV portal\n    When the driver submits renewal details and payment\n    Then the system confirms license renewal"
As a student, I want to submit homework online so that my teacher can grade it,"Feature: Homework Submission\n  Scenario: Submit homework\n    Given the student is logged into the portal\n    When the student uploads homework\n    Then the system stores the homework for grading"
As a customer, I want to track my order so that I know when it arrives,"Feature: Order Tracking\n  Scenario: Track order\n    Given the customer is logged into the store\n    When the customer enters the order number\n    Then the system displays the order status"
As a librarian, I want to catalog new books so that readers can find them easily,"Feature: Library Catalog\n  Scenario: Catalog new book\n    Given the librarian is logged into the system\n    When the librarian enters book details\n    Then the system adds the book to the catalog"
As a chef, I want to share recipes online so that others can cook them,"Feature: Recipe Sharing\n  Scenario: Share recipe\n    Given the chef is logged into the platform\n    When the chef uploads a recipe\n    Then the system publishes the recipe for users"
As a student, I want to join online classes so that I can learn remotely,"Feature: Online Classes\n  Scenario: Join class\n    Given the student is logged into the portal\n    When the student clicks 'Join class'\n    Then the system connects the student to the session"
As a user, I want to receive notifications so that I stay updated,"Feature: Notifications\n  Scenario: Receive notification\n    Given the user is subscribed to updates\n    When a new event occurs\n    Then the system sends a notification"
As a doctor, I want to update patient records so that information is current,"Feature: Patient Records\n  Scenario: Update record\n    Given the doctor is logged into the health system\n    When the doctor edits patient details\n    Then the system saves the updated record"
As a teacher, I want to grade assignments online so that students get feedback,"Feature: Assignment Grading\n  Scenario: Grade assignment\n    Given the teacher is logged into the portal\n    When the teacher opens a student’s submission\n    Then the system allows grading and saves feedback"
As a user, I want to change my profile picture so that my account looks updated,"Feature: Profile Management\n  Scenario: Change profile picture\n    Given the user is logged in\n    When the user uploads a new profile picture\n    Then the system updates the profile picture"
As a customer, I want to pay bills online so that I save time,"Feature: Bill Payment\n  Scenario: Pay bill\n    Given the customer is logged into the billing portal\n    When the customer enters payment details\n    Then the system confirms bill payment"
As a student, I want to download lecture notes so that I can study offline,"Feature: Lecture Notes\n  Scenario: Download notes\n    Given the student is logged into the portal\n    When the student clicks 'Download notes'\n    Then the system provides the notes file"
As a user, I want to delete my account so that my data is removed,"Feature: Account Deletion\n  Scenario: Delete account\n    Given the user is logged in\n    When the user requests account deletion\n    Then the system deletes the account and confirms"
As a tourist, I want to view maps so that I can navigate easily,"Feature: Maps\n  Scenario: View map\n    Given the tourist is on the app\n    When the tourist searches for a location\n    Then the system displays the map"
As a student, I want to join study groups so that I can collaborate,"Feature: Study Groups\n  Scenario: Join group\n    Given the student is logged into the portal\n    When the student selects a study group\n    Then the system adds the student to the group"
As a user, I want to set reminders so that I don’t forget tasks,"Feature: Reminders\n  Scenario: Set reminder\n    Given the user is logged into the app\n    When the user creates a reminder\n    Then the system notifies the user at the set time"
As a developer, I want to track bugs so that I can fix them,"Feature: Bug Tracking\n  Scenario: Track bug\n    Given the developer is logged into the tracker\n    When the developer reports a bug\n    Then the system records the bug for resolution"
As a student, I want to upload projects so that teachers can review them,"Feature: Project Submission\n  Scenario: Upload project\n    Given the student is logged into the portal\n    When the student uploads a project file\n    Then the system stores the project for review"
As a user, I want to search for friends so that I can connect,"Feature: Friend Search\n  Scenario: Search friend\n    Given the user is logged into the app\n    When the user enters a friend’s name\n    Then the system displays matching profiles"
As a patient, I want to request prescriptions online so that I save time,"Feature: Prescription Request\n  Scenario: Request prescription\n    Given the patient is logged into the health portal\n    When the patient requests a prescription refill\n    Then the system confirms the request"
As a student, I want to take quizzes online so that I can test my knowledge,"Feature: Online Quiz\n  Scenario: Take quiz\n    Given the student is logged into the portal\n    When the student starts a quiz\n    Then the system records answers and shows results"
As a user, I want to update my email so that I receive notifications,"Feature: Email Update\n  Scenario: Update email\n    Given the user is logged in\n    When the user changes their email address\n    Then the system saves the new email"
As a customer, I want to review products so that others can see feedback,"Feature: Product Review\n  Scenario: Write review\n    Given the customer is logged into the store\n    When the customer writes a review\n    Then the system publishes the review"
As a student, I want to check exam schedules so that I can prepare,"Feature: Exam Schedule\n  Scenario: View schedule\n    Given the student is logged into the portal\n    When the student navigates to the exam section\n    Then the system displays exam dates"
As a user, I want to enable dark mode so that I reduce eye strain,"Feature: Display Settings\n  Scenario: Enable dark mode\n    Given the user is logged into the app\n    When the user selects 'Dark mode'\n    Then the system changes the theme"
As a researcher, I want to share papers so that others can read them,"Feature: Paper Sharing\n  Scenario: Share paper\n    Given the researcher is logged into the repository\n    When the researcher uploads a paper\n    Then the system publishes the paper"
As a driver, I want to check traffic updates so that I can avoid delays,"Feature: Traffic Updates\n  Scenario: View traffic\n    Given the driver is on the navigation app\n    When the driver checks traffic\n    Then the system displays current traffic conditions"
As a student, I want to access library resources so that I can study,"Feature: Library Resources\n  Scenario: Access resources\n    Given the student is logged into the library portal\n    When the student searches for resources\n    Then the system displays available materials"